Date	Time	d5 (mm)	d6 (mm)	d7 (mm)	S21 (m/m)	S22 (m/m)	S23 (m/m)	S24 (m/m)	S25 (m/m)	S26 (m/m)	S27 (m/m)	S28 (m/m)	S29 (m/m)	S30 (m/m)	S31 (m/m)	S32 (m/m)	S33 (m/m)	S34 (m/m)	S35 (m/m)	S36 (m/m)	S37 (m/m)	S38 (m/m)	S39 (m/m)	S40 (m/m)
30-05-2022	13:13:23.845	9.684253	18.35502	35.52573	3.990443E-07	-3.30025E-07	-5.47124E-07	-6.002665E-09	-8.882336E-07	2.3395E-08	-2.083331E-07	-1.089022E-06	-1.149133E-06	-6.401723E-07	1.002473E-06	-4.943174E-07	0.0110337	3.459088E-07	-3.286704E-07	2.912027E-07	6.11058E-08	-1.719645E-08	2.454831E-07	2.373064E-06
30-05-2022	13:13:23.849	9.677585	18.33125	35.53236	9.579078E-08	-7.198913E-08	-6.08277E-07	1.573566E-07	-6.548743E-07	-3.538774E-07	-1.236559E-07	-9.586381E-07	-3.515897E-07	-5.009917E-07	9.477005E-07	-2.552882E-07	0.0164533	2.01551E-07	-2.859312E-08	7.888293E-07	-1.553347E-07	-3.336936E-07	9.491977E-08	-1.930182E-06
30-05-2022	13:13:23.853	9.686632	18.34344	35.53648	1.027029E-08	-5.303754E-08	-3.574524E-07	4.01465E-07	-2.819141E-07	1.825986E-08	-4.490171E-08	-4.766662E-07	4.756098E-07	-3.179174E-07	1.690856E-06	9.21528E-08	1.014364E-02	1.044275E-06	-1.351089E-07	1.039699E-06	2.418854E-07	-6.439013E-07	-6.160078E-08	-3.09641E-07
30-05-2022	13:13:23.857	9.682504	18.3416	35.52774	-3.026379E-07	1.669526E-07	-4.80633E-09	6.466927E-07	-9.703963E-07	4.33899E-08	6.741251E-07	2.463987E-08	5.643065E-07	-1.068936E-06	9.117755E-07	1.150161E-08	-1.155366E-03	-5.839656E-08	-3.674988E-07	1.702585E-06	9.757987E-07	-8.160337E-07	2.531893E-07	1.28166E-06
30-05-2022	13:13:23.861	9.693217	18.34999	35.52904	-2.738559E-07	1.564602E-07	-7.150727E-08	5.002501E-07	-5.964724E-07	-3.284955E-07	1.570326E-07	-5.411275E-07	-6.007842E-07	-1.126738E-06	1.134875E-06	-1.90756E-07	-2.931587E-04	-1.193467E-07	-1.472332E-07	7.600298E-07	-5.986329E-07	4.863068E-07	6.139089E-08	1.169722E-06
30-05-2022	13:13:23.865	9.676405	18.3486	35.52087	-6.601532E-08	-4.610771E-07	-1.953735E-07	-1.873559E-08	-1.835186E-07	-1.7994E-08	3.142908E-07	-5.061679E-07	-1.575546E-06	-1.524103E-06	9.39641E-07	-4.298552E-07	8.618525E-03	-2.651247E-07	6.141888E-08	5.422827E-07	3.188461E-07	1.976962E-07	-1.274797E-07	-8.524029E-07
30-05-2022	13:13:23.869	9.683793	18.33935	35.54162	-1.201932E-07	-5.927457E-09	-7.293098E-07	1.319327E-07	6.746396E-08	-2.397428E-07	-4.126198E-08	-7.695375E-07	-7.783596E-07	-2.153823E-07	1.533016E-06	-5.803136E-07	0.0158235	-7.295547E-08	-4.442812E-07	2.92448E-07	-1.028726E-07	-4.765053E-08	-3.68968E-07	-3.40498E-06
30-05-2022	13:13:23.873	9.697783	18.36051	35.53512	-3.807984E-07	4.873379E-07	-3.696606E-07	4.293095E-07	-7.924419E-07	-2.144868E-07	2.419599E-07	-6.779671E-07	9.891525E-07	-5.587656E-07	1.397355E-06	-1.92631E-07	1.466276E-02	3.966586E-07	-6.914469E-07	1.207596E-06	5.000874E-07	-4.451067E-07	-4.634925E-09	7.319404E-07
30-05-2022	13:13:23.877	9.695623	18.33771	35.54178	-1.661577E-07	6.465852E-07	9.047374E-08	2.755769E-07	-5.212673E-07	-4.241464E-07	-2.121512E-07	-8.493019E-07	4.295054E-07	-4.910152E-07	1.547785E-06	-2.738978E-07	-2.852755E-04	4.102521E-07	-2.24953E-07	1.408748E-06	2.414918E-07	-4.238525E-07	3.698635E-07	-4.881888E-08
30-05-2022	13:13:23.881	9.689554	18.35509	35.53576	6.450836E-07	2.318363E-07	-3.877876E-07	6.650505E-07	-7.163806E-07	1.212566E-07	-1.150557E-07	1.336551E-07	-4.228521E-07	-8.20812E-07	1.093583E-06	-5.881353E-07	-1.648923E-03	-4.478842E-07	-4.40965E-07	1.168557E-06	3.893547E-07	-1.87237E-07	1.366691E-08	1.905227E-06
30-05-2022	13:13:23.885	9.690039	18.34374	35.54799	-4.505497E-09	-3.925528E-07	-1.135259E-07	6.753908E-07	-5.172353E-07	-1.065368E-07	3.677448E-07	-2.685532E-07	-1.775292E-06	-1.257817E-06	6.13825E-07	-6.85899E-08	-1.686893E-03	-4.365015E-07	-3.475179E-07	-2.076097E-08	2.623892E-07	9.912093E-08	-4.991587E-07	-4.372361E-07
30-05-2022	13:13:23.889	9.669058	18.34079	35.5269	5.41905E-07	4.180641E-07	-4.87839E-07	5.052033E-07	-8.192357E-07	-6.256344E-07	3.707422E-07	-3.824552E-07	-7.919111E-07	-6.655123E-07	1.367726E-06	2.242954E-08	-1.691858E-03	-2.120592E-07	6.364364E-08	6.00305E-07	-1.14685E-06	-2.418836E-07	-3.651132E-07	-2.401626E-06
30-05-2022	13:13:23.893	9.683065	18.34492	35.52539	-6.254525E-09	3.759143E-07	-5.477957E-09	4.994525E-07	1.837354E-08	1.160935E-07	-2.366982E-08	-1.157673E-07	1.672211E-07	-1.320866E-07	1.486261E-06	-1.657239E-07	-1.669165E-03	9.116216E-07	-1.765329E-07	1.604233E-06	8.444886E-07	-6.699758E-07	2.344992E-07	1.280733E-06
30-05-2022	13:13:23.897	9.695339	18.33811	35.53061	9.46854E-08	3.437943E-07	7.550905E-08	5.311449E-07	-4.575847E-07	-1.811993E-07	7.098449E-07	-6.628949E-08	8.714989E-07	-9.213462E-07	1.490361E-06	-2.410861E-07	-1.466666E-03	4.12246E-07	1.201233E-07	1.702259E-06	3.274758E-07	-8.076453E-07	2.240156E-07	9.694479E-07
30-05-2022	13:13:23.901	9.688133	18.34182	35.52662	9.406974E-08	2.605309E-07	-4.995155E-07	1.092737E-06	-5.131325E-07	6.197157E-08	-2.556854E-07	-4.306134E-07	-4.01395E-07	-1.379116E-06	9.372483E-07	-6.388851E-08	-1.486528E-03	-2.405963E-08	1.554886E-07	1.206025E-06	3.123905E-07	-4.548033E-07	-5.953693E-09	-4.15779E-08
30-05-2022	13:13:23.905	9.680364	18.34043	35.53043	-1.718385E-07	-9.773972E-07	-6.06668E-07	6.3715E-07	-4.11455E-07	3.378143E-07	1.710561E-07	-8.419892E-07	-1.683559E-06	-1.580058E-06	6.295103E-08	-6.96561E-07	-1.663462E-03	-1.028946E-06	-6.04807E-07	2.710714E-07	2.978403E-07	-1.265037E-07	-3.570501E-07	1.615483E-06
30-05-2022	13:13:23.909	9.685267	18.33944	35.51789	-3.611254E-07	-1.173852E-07	-5.52623E-07	7.554123E-07	-1.798443E-07	3.526881E-07	3.132201E-07	-6.519971E-07	-7.574062E-07	-6.014978E-07	6.765521E-07	-3.648753E-07	-1.646171E-03	-9.374792E-10	-5.118636E-07	4.715555E-07	1.759418E-07	1.34927E-07	3.471087E-07	1.259479E-06
30-05-2022	13:13:23.913	9.675937	18.34962	35.52633	1.333879E-07	1.29157E-07	-2.192862E-07	7.725248E-07	-2.522313E-07	2.870785E-07	5.032715E-07	-6.919864E-07	-5.995039E-07	-4.766312E-07	2.006786E-06	-1.143725E-07	-1.668018E-03	6.248789E-07	-4.172482E-08	1.517023E-06	1.784077E-06	-3.432083E-07	1.784009E-09	-1.854474E-06
30-05-2022	13:13:23.917	9.684417	18.35694	35.52802	2.137173E-07	2.405089E-07	2.233929E-07	4.366554E-07	-3.713904E-07	-1.657939E-07	5.922669E-07	-1.216891E-07	4.738677E-07	-2.962294E-07	1.386413E-06	-1.216204E-07	-1.685521E-03	3.16791E-07	-1.724262E-07	1.665222E-06	5.263001E-07	-8.295292E-08	4.854708E-07	-1.460956E-06
30-05-2022	13:13:23.921	9.685069	18.34715	35.51651	2.091838E-08	-5.589282E-08	-1.179545E-08	1.061688E-06	-8.636518E-07	-3.218352E-07	2.820326E-07	-3.47545E-08	-1.825776E-07	-1.205248E-06	4.438544E-07	-3.865912E-07	-0.0014537	4.892382E-08	5.294519E-07	1.031381E-06	9.438106E-08	4.971438E-08	-6.348973E-08	8.031258E-07
30-05-2022	13:13:23.925	9.679244	18.34652	35.5333	6.889773E-08	-2.89445E-07	-3.56354E-07	1.573426E-07	-2.002869E-07	-4.586232E-07	-3.791154E-07	-1.278247E-07	-1.847876E-06	-1.321118E-06	3.555215E-07	-6.132233E-07	-1.610426E-03	-1.299738E-07	3.513308E-07	-5.019711E-09	-1.17498E-07	-2.657054E-07	-9.965613E-08	4.216243E-07
30-05-2022	13:13:23.929	9.674557	18.34364	35.51176	-1.790865E-07	-8.717909E-07	-4.776317E-07	5.281506E-07	4.607601E-07	4.671725E-07	3.816616E-07	-3.707905E-07	-1.336824E-06	-8.666086E-07	1.113662E-06	2.516362E-07	-1.667484E-03	5.445075E-08	-2.37518E-08	5.432797E-07	-2.350414E-07	4.022415E-07	2.995946E-07	2.327677E-07
30-05-2022	13:13:23.933	9.673216	18.35223	35.53748	2.543647E-07	2.110649E-07	4.705656E-07	6.313572E-07	4.968639E-07	2.158301E-07	-4.061994E-07	-4.176282E-07	-4.062083E-07	-5.571285E-07	2.236133E-06	-4.478912E-07	-1.651712E-03	-1.830743E-07	-2.324109E-07	1.478552E-06	8.758364E-07	-4.560207E-07	4.553665E-07	-1.44687E-06
30-05-2022	13:13:23.937	9.673679	18.35706	35.52388	1.307154E-07	-1.167083E-07	4.057186E-07	8.143896E-07	-4.071017E-07	2.305639E-07	-3.171686E-07	-1.166074E-06	5.374554E-07	-7.252311E-07	2.021912E-06	-9.626652E-08	-0.0016746	-5.729677E-07	2.449339E-07	1.293739E-06	3.020117E-07	-2.966982E-07	4.549048E-07	1.105386E-09
30-05-2022	13:13:23.941	9.669717	18.33817	35.5192	1.233135E-07	-1.970796E-07	-2.081834E-07	6.657222E-07	-4.652905E-07	7.953182E-08	2.79606E-07	-6.78038E-07	-2.469628E-07	-1.295512E-06	6.270267E-07	-5.478377E-07	-1.669323E-03	-4.506267E-07	-3.922931E-07	6.58796E-07	4.895321E-07	-1.270354E-07	4.780095E-08	2.26877E-07
30-05-2022	13:13:23.945	9.687086	18.35694	35.52436	2.369724E-07	-4.652512E-07	2.900589E-08	3.341064E-07	-2.655383E-07	1.730279E-07	-8.479596E-08	-4.880462E-07	-1.770122E-06	-1.677262E-06	3.680375E-07	-6.986039E-07	-1.667465E-03	-3.656938E-07	1.483176E-09	9.911044E-08	-9.848779E-08	-2.900309E-07	-2.26751E-07	-2.656704E-07
30-05-2022	13:13:23.949	9.68826	18.33277	35.52601	5.414992E-08	3.618565E-08	4.239155E-07	2.14221E-07	4.600465E-07	9.157912E-08	1.128558E-07	-5.875008E-07	-7.799687E-07	-1.063325E-06	8.859318E-07	-1.117279E-07	-1.630968E-03	-3.587677E-07	-7.376702E-08	4.96787E-07	1.66135E-07	-3.00623E-07	9.427612E-08	9.814288E-07
30-05-2022	13:13:23.953	9.681419	18.3467	35.52634	-3.822536E-07	2.029634E-07	1.252024E-07	3.363311E-07	3.266171E-07	2.954878E-07	5.551558E-07	-4.722075E-07	5.888699E-07	-5.323203E-07	1.530484E-06	-2.348315E-07	-1.645881E-03	6.520378E-09	2.62844E-07	1.382596E-06	-7.502282E-08	-2.326837E-07	1.667244E-07	-7.76656E-07
30-05-2022	13:13:23.957	9.675197	18.35842	35.53125	1.130012E-07	2.06924E-07	1.184512E-07	8.119829E-07	1.811644E-07	5.74269E-07	5.02665E-07	-9.533232E-07	1.950376E-07	1.013737E-07	2.350715E-06	-4.111756E-07	-1.650259E-03	4.631427E-07	-1.192977E-07	1.572335E-06	5.646021E-07	-3.490571E-07	1.966887E-07	-5.791383E-08
30-05-2022	13:13:23.961	9.692415	18.35635	35.54566	4.279383E-07	-5.292787E-07	4.110217E-08	5.355944E-07	-7.520516E-08	4.479332E-07	-2.273168E-07	-5.276784E-07	-8.62145E-07	-6.557317E-07	7.847191E-07	-5.709808E-07	-1.590615E-03	1.371728E-07	-5.041889E-07	8.837525E-07	8.111766E-07	-8.198815E-07	2.617911E-07	8.835427E-07
30-05-2022	13:13:23.965	9.67565	18.34681	35.53493	1.607847E-07	1.751617E-07	-1.714188E-07	5.996229E-07	-2.180181E-07	-3.990163E-07	1.693077E-07	-9.391968E-07	-7.836766E-07	-1.353132E-06	1.268724E-06	-3.884942E-07	-8.42107E-04	-2.965303E-07	-2.863859E-07	4.855792E-07	-8.764486E-07	-2.244423E-07	-4.32923E-07	-4.192631E-07
